,word,lemma,english_translation,beta_code,parsing_abbreviation,chapter_number,chapter_name,title
136,τράγῳ·,τράγος,"τράγος, a he-goat",tra/gw|:,  masculine dative singular,1,Aesop's Fables,The Fox and the Goat
137,Ὦ,Ω,"Ω, the letter Omega",*)=w,  neuter nominative singular,1,Aesop's Fables,The Fox and the Goat
138,"οὗτος,",οὗτος,"οὗτος, οὗτος, αὕτη, τοῦτο, this, that","ou(=tos,",  demonstrative pronoun masculine nominative singular,1,Aesop's Fables,The Fox and the Goat
139,εἰ,εἰ,"εἰ, εἰ, if",ei),"  conjunction,  adverb (w/ imperatives),   particle (w/ wishes)",1,Aesop's Fables,The Fox and the Goat
140,τοσαύτας,τοσοῦτος,"τοσοῦτος, τοσοῦτος, τοσαύτη, τοσοῦτο/τοσοῦτον, so much/many, so large",tosau/tas,"  demonstrative pronoun feminine accusative plural,  demonstrative pronoun feminine genitive singular (NCA)",1,Aesop's Fables,The Fox and the Goat
141,φρένας,φρήν,"φρήν, the midriff; heart, mind",fre/nas,  feminine accusative plural,1,Aesop's Fables,The Fox and the Goat
142,εἶχες,ἔχω,"ἔχω, ἔχω, ἕξω or σχήσω, ἔσχον, ἔσχηκα, -ἔσχημαι, -, have, hold; be able; (+ adv.) be; (mid.) cling to, be next to (+ gen.)",ei)=xes,  imperfect active indicative 2nd singular,1,Aesop's Fables,The Fox and the Goat
143,ὅσας,ὅσος,"ὅσος, ὅσος, ὅση, ὅσον, as much/many as, as large as; how much/many!, how large!",o(/sas,"  relative pronoun feminine accusative plural,  relative pronoun feminine genitive singular (NCA)",1,Aesop's Fables,The Fox and the Goat
144,ἐν,ἐν,"ἐν, ἐν, in",e)n,"  preposition,   adverb (NCA)",1,Aesop's Fables,The Fox and the Goat
145,τῷ,ὁ,"ὁ, ὁ, the [definite article]",tw=|,"  definite article masculine dative singular,   definite article neuter dative singular",1,Aesop's Fables,The Fox and the Goat
146,πώγωνί,πώγων,"πώγων, the beard",pw/gwni/, masculine dative singular,1,Aesop's Fables,The Fox and the Goat
147,σου,σύ,"σύ, σύ, you (sg.)",sou,  personal pronoun genitive singular,1,Aesop's Fables,The Fox and the Goat
148,"τρίχας,",θρίξ,"θρίξ, the hair of the head","tri/xas,",  feminine accusative plural,1,Aesop's Fables,The Fox and the Goat
149,οὐ,οὐ,"οὐ, οὐ, οὐκ, οὐχ, not",ou),  adverb,1,Aesop's Fables,The Fox and the Goat
150,πρότερον,πρότερος,"πρότερος, πρότερος, προτέρᾱ, πρότερον, former, superior",pro/teron,"  masculine accusative singular comparative,  neuter nominative singular comparative,  neuter vocative singular comparative,   neuter accusative singular comparative",1,Aesop's Fables,The Fox and the Goat
